year,tractor_familyname_std,tractor_2_familyname_std,stans_familyname_std,stans_2_familyname_std
1131,Michiel,,Bembo,
1321,Barbarigo,,Caravello,
1199,Viaro,,Arduini,
1312,,,Canal,
1130,Falier,,Morosini,
1323,Miani,,Foscolo,
1186,Morosini,,,
1200,,,Barbani,
1201,Viaro,,Ziani,
1228,Longo,,Bredani,
1242,Belli,,Barastro,
1207,Corner,,Corner,
1250,,,Balestrieri,
1327,Trevisan,,Giustinian,
1206,,,,
1205,Corner,,Semitecolo,
1316,Sanudo,,Sanudo,
1323,Orio,,Michiel,
1234,,,Alberto,
1322,Badoer,,Badoer,
1323,Morosini,,Moro,
1208,Emo,,Casolo,
1206,Staniario,,Zane,
1170,Da Molin,,Venier,
1248,Veglia,,Grego,
1316,Boninsegna,,Michiel,
1209,Viaro,,Ziani,
1120,,,Navigroso,
1324,Zulian,,Dalla Scala,
1202,Viaro,,Badoer,
1210,Gradenigo,,,
1329,Trevisan,,Dalle Sevole,
1118,Da Molin,,Grioni,
1234,,,,
1319,Malipiero,,Arimondo,
1198,Viaro,,Da Mula,
1226,Emo,,Agadi,
1236,Longo,,Albizzo,
1320,Morosini,,Morosini,
1236,,,Marioni,
1083,Morosini,,Morosini,
1231,Falier,,,
1221,Bon,,Muazzo,
1226,,,,
1329,Trevisan,,Giustinian,
1243,Ruzier,,,
1172,Bon,,,
1138,,,,
1252,Sirano,,Ghisi,
1159,Marano,,,
1208,Gradenigo,,Soranzo,
1197,Faccio,,Polini,
1323,Foscarini,,Marin,
1209,Viaro,,Encio,
1323,,,Tagliapietra,
1159,,,Manolesso,
1207,Gradenigo,,,
1329,Morosini,,Dalla Scala,
1320,Sagredo,,,
1204,Viaro,,Arduini,
1240,Vitturi,,,
1313,,,Benedetti,
1326,Querini,,Boninsegna,
1234,,,Civran,
1204,Viaro,,,
1239,,,Marioni,
1310,Contarini,,Zorzi,
1319,Boldu,,,
1217,Vitaliano,,Baseggio,
1159,Guido,,,
1333,Da Molin,,Brizi,
1329,Morosini,,Zordani,
1206,Da Fano,,Curtolo,
1247,Lanfranchi,,Mosto,
1327,Barbarigo,,Morosini,
1183,Vidal,,,
1206,,,Staniario,
1327,Trevisan,,Dalle Sevole,
1323,,,,
1220,Emo,,,
1220,Zantani,,Donato,
1182,Tiepolo,,Tiepolo,
1312,Benedetti,,,
1198,,,,
1235,Calbo,,,
1250,,,,
1165,Vidal,,,
1200,D'Avanzago,,Barbarigo,
1207,Gradenigo,,,
1190,Tiepolo,,Ziani,
1207,Viaro,,Da Molin,
1238,Ragusio,,Marioni,
1244,Barbo,,Giustinian,
1253,Emo,,,
1319,Flabiano,,Semitecolo,
1326,Morosini,,Giustinian,
1235,Falier,,Capello,
1217,Gradenigo,,Bembo,
1225,D'Equilo,,,
1207,Corner,,Longo,
1252,,,,
1234,,,,
1153,Calbo,,Grego,
1218,Gradenigo,,Bembo,
1228,Longo,,,
1243,Barbo,,Dalla Fontana,
1233,Venier,,,
1223,Gradenigo,,Ziani,
1138,Contarini,,Giustinian,
1161,Marano,,Dandolo,
1225,Gradenigo,,Gradenigo,
1312,Venier,,Marcello,
1338,Barbarigo,,Morosini,
1213,Gradenigo,,Bembo,
1246,,,,
1316,Sanudo,,Dandolo,
1316,Badoer,,Dandolo,
1234,,,,
1190,Tiepolo,,Tolonegi,
1184,Da Molin,,Da Molin,
1323,Barbarigo,,Badoer,
1156,Marano,,Navigroso,
1208,Gradenigo,,Gradenigo,
1244,Miani,,,
1205,Gradenigo,,Mocenigo,
1257,Trevisan,,,
1323,Tron,,Tron,
1234,Acotanto,,Zusto,
1228,,,Barozzi,
1316,,,,
1316,Sanudo,,Giustinian,
1342,Barbarigo,,Morosini,
1328,Morosini,,Giustinian,
1209,Corner,,,
1243,Barbo,,Giustinian,
1234,,,,
1325,Morosini,,Giustinian,
1323,Morosini,,Gradenigo,
1260,,,Trevisan,
1234,,,Bon,
1224,Emo,,Badoer,
1313,,,Giustinian,
1333,Trevisan,,Giustinian,
1249,Venier,,Nicola,
1208,Gradenigo,,Morosini,
1200,Staniario,,Istrigo,
1326,Morosini,,Zordani,
1251,Venier,,Trevisan,
1312,,,,
1224,Emo,,Badoer,
1234,,,Agadi,
1253,Emo,,Badoer,
1154,Marano,,Gussoni,
1323,,,,
1322,,,,
1255,,,Gradenigo,
1234,,,Senadori,
1089,,,Storladi,
1220,Gradenigo,,Gradenigo,
1191,Tonisti,,Giustinian,
1320,Morosini,,Contarini,
1207,Gradenigo,,,
1340,Barbarigo,,Morosini,
1243,Miani,,,
1223,Gradenigo,,Zorzi,
1316,Badoer,,Ghisi,
1251,,,Zantani,
1333,Trevisan,,Dalle Sevole,
1167,,,Marano,
1313,Viaro,,Soranzo,
1323,Miani,,Zen,
1234,Acotanto,,Zusto,
1250,,,,
1165,Vidal,,,
1244,Miani,,,
1239,,,Donato,
1316,Sanudo,,Soranzo,
1214,Faccio,,Bredani,
1328,Soranzo,,Foscarini,
1244,Belli,,Dolfin,
1258,Venier,,,
1198,Viaro,,Arimondo,
1253,,,Marioni,
1205,Viaro,,Corner,
1210,Corner,,Bosio,
1241,,,Trevisan,
1239,,,Albino,
1130,Da Molin,,Addoldo,
1231,Orio,,Contarini,
1209,Gradenigo,,,
