wife_familyname_std,husband_familyname_std,year,marriage_number
,Barbaro,1426,1
,Cocco,1427,1
,Querini,,1
Abramo,Corner,,1
Abramo,Dandolo,,1
Abramo,Cocco,1500,1
Abramo,Falier,,1
Abramo,Marin,,1
Abramo,Lolin,,1
Abramo,Querini,,1
,Muazzo,,1
,Calergi,,1
Acotanto,Tagliapietra,1413,1
,Donini,,1
Adamo,Querini,1720,1
,Balbi,1539,1
,Manolesso,1669,1
,Memmo,1700,1
,Barbarigo,1780,1
,Donato,1501,1
,Michiel,1533,1
,Da Molin,1505,1
,Zaguri,,1
,Querini,1529,1
,Navager,1503,1
,Giustinian,1486,1
,Zeno,1476,1
,Soranzo,1722,1
,Civran,1526,1
,Marcello,,1
,Ghisi,1735,1
Alberto,Giustinian,1420,1
Alberto,Balbi,1603,1
Alberto,Balbi,1610,1
Alberto,Trevisan,1736,1
Alberto,Loredan,1683,1
Alberto,Querini,1692,1
Alberto,Bembo,1561,1
Alberto,Da Riva,1538,1
Alberto,Capello,1602,1
Alberto,Gussoni,1600,1
Alberto,Manolesso,1550,1
Alberto,Moro,1527,1
Alberto,Loredan,1535,1
Alberto,Correr,1550,1
Alberto,Lion,1487,1
Alberto,Malipiero,1523,1
Alberto,Loredan,1429,1
Albino,Malipiero,1589,1
Albrizzi,Capello,1765,1
Albrizzi,Capello,1728,1
Albrizzi,Deddo,1777,1
Albrizzi,Condulmer,1650,1
Albrizzi,Contarini,1774,1
Albrizzi,Bembo,1780,1
Albrizzi,Sandi,1670,1
Albrizzi,Morosini,1725,1
Albrizzi,Marcello,1805,1
,De Mezzo,,1
,Sagredo,1685,1
,Sagredo,1472,1
,Contarini,1484,1
,Benzon,1599,1
,Barbaro,1728,1
,Grimani,1732,1
,Gherardini,1712,1
,Dandolo,1725,1
,Pallavicino,1790,1
,Barbaro,1764,1
,Contarini,1493,1
,Minotto,1592,1
,Minotto,1592,1
,Balbi,1572,1
,Savorgnan,1541,1
,Collalto,1574,1
,Querini,1580,1
,Querini,1798,1
,Querini,1662,1
,Da Mula,1538,1
,Zorzi,1476,1
,Canal,1487,1
,Bon,1415,1
,Tron,1424,1
,Muazzo,1517,1
,Da Riva,1438,1
,Contarini,1462,1
,Marcello,1418,1
,Balbi,1513,1
,Moro,1540,1
,Ghisi,1503,1
,Marcello,1452,1
,Basadonna,1451,1
,Soranzo,1421,1
Amizzo,Barbarigo,1439,1
,Zane,1584,1
,Maffetti,,1
,Balbi,1539,1
Angaran,Angaran,1673,1
Angaran,Pelizzioli,1724,1
Angaran,Grimani,1771,1
Angaran,Balbi,1738,1
Angaran,Malipiero,1737,1
Angaran,Contarini,1681,1
Angaran,Balbi,1701,1
,Longo,1674,1
Anselmi,Malipiero,1524,1
Anselmi,Barozzi,1438,1
Antelmi,Savorgnan,1642,1
Antelmi,Longo,1694,1
Angaran,Tron,1780,1
Angaran,Barbaro,1471,1
,Nadal,1437,1
,Labia,1614,1
,Dolfin,1721,1
,Deddo,1658,1
,Marin,1811,1
,Baseggio,1531,1
,Soranzo,1770,1
,Dolfin,1554,1
,Corner,1598,1
Acquisti,Michiel,1689,1
Acquisti,Badoer,1703,1
Acquisti,Balbi,1768,1
Acquisti,Corner,1704,1
Acquisti,Manolesso,1710,1
,Condulmer,1496,1
,Venier,1403,1
,Barbarigo,1406,1
,Erizzo,1400,1
,Vitturi,1410,1
,Malipiero,1414,1
,Minio,1520,1
,Semitecolo,1552,1
,Falier,,1
Ariani,Canal,1402,1
Ariani,Lippomano,1508,1
Ariani,Lippomano,1537,1
Ariani,Canal,1508,1
Ariani,Lippomano,1503,1
Arimondo,Capello,1423,1
Arimondo,Venier,1484,1
Arimondo,Avogadro,1561,1
Arimondo,Pisani,1565,1
Arimondo,Zane,1575,1
Arimondo,Barbo,1449,1
Arimondo,Deddo,1600,1
Arimondo,Barbaro,1514,1
Arimondo,Corner,1480,1
Arimondo,Contarini,1491,2
Arimondo,Da Molin,1505,1
Arimondo,Foscarini,1638,1
Arimondo,Loredan,1589,1
Arimondo,Canal,1543,1
Arimondo,Deddo,1520,1
Arimondo,Morosini,1475,1
Arimondo,Mosto,1615,1
Arimondo,Pesaro,1459,1
Arimondo,Morosini,1536,1
Arimondo,Baseggio,1432,1
Arimondo,Valier,1533,1
Arimondo,Deddo,1534,1
Arimondo,De Mezzo,1525,1
Arimondo,Bembo,1586,2
Arimondo,Dolfin,1581,1
Arimondo,Manolesso,1527,1
Arimondo,Lion,1498,1
Arimondo,Pesaro,1405,1
Arimondo,Ruzier,1516,1
Arimondo,Balbi,1616,1
Arimondo,Contarini,1400,1
Arimondo,Civran,1545,1
Arimondo,Minio,1631,1
Arimondo,Magno,1527,1
Arimondo,Querini,1461,1
Arimondo,Loredan,1587,1
Arimondo,Michiel,1531,1
Arimondo,Donato,1508,1
Arimondo,Malipiero,1555,1
Arimondo,Pesaro,1408,1
Arimondo,Morosini,1475,1
Arimondo,Mosto,1615,1
Arimondo,Pesaro,1459,1
Arimondo,Morosini,1536,1
Arimondo,Baseggio,1432,1
Arimondo,Valier,1533,1
Arimondo,Deddo,1534,1
Arimondo,De Mezzo,1525,1
Arimondo,Bembo,1586,2
Arimondo,Dolfin,1581,1
Arimondo,Manolesso,1527,1
Arimondo,Lion,1498,1
Arimondo,Pesaro,1405,1
Arimondo,Ruzier,1516,1
Arimondo,Balbi,1616,1
Arimondo,Contarini,1400,1
Arimondo,Civran,1545,1
Arimondo,Minio,1631,1
Arimondo,Magno,1527,1
Arimondo,Querini,1461,1
Arimondo,Loredan,1587,1
Arimondo,Michiel,1531,1
Arimondo,Donato,1508,1
Arimondo,Malipiero,1555,1
Arimondo,Pesaro,1408,1
Arimondo,Dolfin,1552,1
Arimondo,Vitturi,1472,1
Arimondo,Marin,1477,1
Arimondo,Venier,1471,1
,Zorzi,1759,1
,Balbi,1786,1
,Canal,1477,1
,Barbaro,1663,1
,Arimondo,,1
Arnaldi,Pizzamano,1798,1
Arnaldi,Scroffa,1731,1
Darpin,Bembo,1426,1
Darpin,Canal,1480,1
,Pepoli,1665,1
,Briani,1524,1
,Corner,1486,1
,Querini,1575,1
,Morosini,1640,1
,Pasqualigo,1648,2
,Capello,1812,1
,De Cologna,1745,1
D'Avanzago,Ghisi,1535,1
D'Avanzago,Soranzo,1459,1
D'Avanzago,Querini,1428,1
D'Avanzago,Zancaruol,,1
D'Avanzago,Manolesso,1628,1
D'Avanzago,Donato,1624,1
D'Avanzago,Zancaruol,1574,1
D'Avanzago,Priuli,1587,1
D'Avanzago,Valaresso,1591,2
D'Avanzago,Balbi,1595,3
,Sagredo,1666,1
Avogadro,Foscarini,1631,1
Avogadro,Premuda,1810,1
Avogadro,Zorzi,1593,1
Avogadro,Avogadro,1645,1
Avogadro,Zambelli,1700,1
Avogadro,Tiepolo,1623,1
Avogadro,Avogadro,1592,1
Avogadro,Giustinian,1613,1
Avogadro,Minio,1666,1
Avogadro,Briani,1584,1
Avogadro,Martinengo,1613,1
Avonal,Querini,,1
Avonal,Barbarigo,,1
Avonal,Da Molin,1518,1
Avonal,De Mezzo,,1
Avonal,Matono,1428,1
Avonal,Corner,1558,1
Avonal,Venier,1612,1
Avonal,Muazzo,,1
Avonal,Venier,1604,1
Avonal,De Mezzo,1606,1
