wife_familyname_std,husband_familyname_std,year,marriage_number
Avonal,Grego,1615,1
Avonal,Querini,1555,1
Avonal,Dono,,1
Avonal,Tron,,1
,Barozzi,1487,1
,Giustinian,,1
,Valier,1665,1
,Nadal,1820,1
,Pasqualigo,1609,1
Badoer,Malipiero,1448,1
Badoer,Giustinian,1497,2
Badoer,Barbaro,1756,1
Badoer,Barbaro,1723,1
Badoer,Gabriel,1545,1
Badoer,Emo,1560,1
Badoer,Zorzi,1627,1
Badoer,Emo,1528,1
Badoer,Pesaro,1686,1
Badoer,Badoer,1780,1
Badoer,Minotto,1468,1
Badoer,Trevisan,1513,1
Badoer,Grimani,1536,2
Badoer,Michiel,1541,3
Badoer,Querini,1529,1
Badoer,Romieri,1762,1
Badoer,Querini,1750,1
Badoer,Minio,1742,1
Badoer,Soranzo,1513,1
Badoer,Contarini,1535,1
Badoer,Dolfin,1503,1
Badoer,Moro,1515,1
Badoer,Michiel,1506,1
Badoer,Barbaro,1533,1
Badoer,Da Riva,1762,1
Badoer,Canal,1520,1
Badoer,Foscarini,1778,1
Badoer,Cassetti,1788,2
Badoer,Battagia,1654,1
Badoer,Orio,1649,1
Badoer,Minio,1766,1
Badoer,Bondumier,1442,1
Badoer,Avogadro,1643,1
Badoer,Bragadin,1658,2
Badoer,Semitecolo,1518,1
Badoer,Contarini,1754,1
Badoer,Bragadin,1787,1
Badoer,Foscarini,1552,1
Badoer,Soranzo,1513,1
Badoer,Barozzi,1791,1
Badoer,Badoer,1592,1
Badoer,Valier,1653,1
Badoer,Corner,1728,1
Badoer,Michiel,1565,1
Badoer,Civran,1615,1
Badoer,Zorzi,1779,1
Badoer,Donato,1633,1
Badoer,Loredan,1679,1
Badoer,Barbarigo,1593,1
Badoer,Grimani,1559,1
Badoer,Venier,1604,1
Badoer,Gradenigo,1563,1
Badoer,Bernardo,1556,1
Badoer,Morosini,1585,1
Badoer,Morosini,1554,1
Badoer,Foscarini,1650,1
Badoer,Tiepolo,1747,1
Badoer,Da Lezze,1549,1
Badoer,Salamon,1566,1
Badoer,Canal,1589,1
Badoer,Barbaro,1792,1
Badoer,Pisani,1683,1
Badoer,Gussoni,1562,1
Badoer,Pisani,1596,1
Badoer,Capello,1487,1
Badoer,Da Molin,1561,1
Badoer,Priuli,1553,1
Badoer,Condulmer,1461,1
Badoer,Renier,1635,1
Badoer,Capello,1522,1
Badoer,Da Riva,1800,1
Badoer,Soranzo,1688,1
Badoer,Soranzo,1658,1
Badoer,Gritti,1604,1
Badoer,Zulian,1557,1
Badoer,Zorzi,1543,1
Badoer,Morosini,1474,1
Badoer,Contarini,,1
Badoer,Catti,1742,1
Badoer,Tiepolo,1476,1
Badoer,Balbi,1782,1
Badoer,Querini,1615,1
Badoer,Morosini,1486,1
Badoer,Dolfin,1658,1
Badoer,Malipiero,1496,1
Badoer,Malipiero,1526,1
Badoer,Morosini,1680,1
Badoer,Canal,1502,1
Badoer,Polani,1736,1
Badoer,Bembo,1635,1
Badoer,Giustinian,1555,1
Badoer,Malipiero,1559,1
Badoer,Mosto,1714,1
Badoer,Pasqualigo,1673,1
Badoer,Barbaro,1794,1
Badoer,Da Lezze,1610,1
Badoer,Minio,1553,1
Badoer,Contarini,1494,1
Badoer,Dolfin,1595,1
Badoer,Dolfin,1451,1
Badoer,Priuli,1665,1
Badoer,Zorzi,1765,1
Badoer,Valier,1503,1
Badoer,Gabriel,,1
Badoer,Contarini,1561,1
Badoer,Morosini,1635,1
Badoer,Giustinian,1787,1
Badoer,Priuli,1681,1
Badoer,Michiel,1520,1
Badoer,Baffo,1535,1
Badoer,Gradenigo,1486,1
Badoer,Da Mula,1598,1
Badoer,Grimani,1550,1
Badoer,Basadonna,1728,1
Badoer,Foscari,1509,1
Badoer,Da Lezze,1511,2
Badoer,Orio,1527,1
Badoer,Zorzi,1503,1
Badoer,Gradenigo,1583,1
Badoer,Longo,1771,1
Badoer,Venier,1457,2
Badoer,Barbaro,1727,1
Badoer,Bembo,1732,2
Badoer,Corner,1750,1
Badoer,Trevisan,1560,1
Badoer,Contarini,1481,1
Badoer,Badoer,1566,1
Badoer,Donato,1736,1
Badoer,Surian,1561,1
Badoer,Morosini,1595,1
Badoer,Zorzi,1796,1
Badoer,Giustinian,1412,1
Badoer,Bembo,1472,1
Badoer,Venier,1584,1
Badoer,Salamon,1626,1
Badoer,Soranzo,1726,1
Badoer,Marin,1608,1
Badoer,Foscarini,1517,1
Badoer,Bragadin,1506,1
Badoer,Michiel,1533,1
Badoer,Sagredo,1504,1
Badoer,Canal,1465,1
Badoer,Boldu,1689,1
Badoer,Pasqualigo,1715,2
Badoer,Grimani,1625,1
Badoer,Mocenigo,1689,1
Badoer,Marcello,1563,1
Badoer,Mocenigo,1672,1
Badoer,Barozzi,1792,1
Badoer,Barbaro,1510,1
Badoer,Foscarini,1516,2
Badoer,Querini,1442,1
Badoer,Morosini,1806,1
Badoer,Marin,1612,1
Badoer,Boldu,1615,2
Badoer,Bondumier,1528,1
,Bragadin,1733,1
Baffo,Bollani,1461,1
Baffo,Lucca,1673,1
Baffo,Boldu,1700,1
Baffo,Dolfin,1747,1
Baffo,Malipiero,1552,1
Baffo,Valier,1490,1
Baffo,Michiel,1561,1
Baffo,Barbaro,1453,1
Baffo,Zane,1479,1
Baffo,Querini,1532,1
Baffo,Corner,1703,1
Baglioni,Trevisan,1582,1
Baglioni,Rota,1759,1
Baglioni,Minelli,1760,1
Baglioni,Dolfin,1730,1
Baglioni,Bembo,1730,1
Baglioni,Antelmi,1728,1
Baglioni,Magno,1732,1
Baglioni,Redetti,1721,1
Barastro,Querini,1416,1
Barastro,Pasqualigo,1529,1
Balbi,Lando,1439,1
Balbi,Balbi,1755,1
Balbi,Minio,1744,1
Balbi,Zorzi,1750,2
Balbi,Pisani,1610,1
Balbi,Ferro,1628,1
Balbi,Foscarini,1634,1
Balbi,Da Mula,1495,1
Balbi,Soranzo,1739,1
Balbi,Querini,1732,1
Balbi,Marin,1763,1
Balbi,Barbaro,1697,1
Balbi,Corner,1671,1
Balbi,Bembo,1584,1
Balbi,Marin,1779,1
Balbi,Zorzi,1786,1
Balbi,Barbaro,1728,1
Balbi,Da Riva,1717,1
Balbi,Bon,1738,1
Balbi,Zorzi,1740,1
Balbi,Barbaro,1680,1
Balbi,Longo,1788,1
Balbi,Manolesso,1701,1
Balbi,Deddo,1537,1
Balbi,Polani,1464,1
Balbi,Malipiero,1597,1
Balbi,Da Molin,1770,1
Balbi,Morosini,1438,1
Balbi,Contarini,1451,1
Balbi,Contarini,1782,1
Balbi,Marin,1480,1
Balbi,Condulmer,1730,1
Balbi,Marin,1731,1
Balbi,Angaran,1768,1
Balbi,Balbi,1764,1
Balbi,Catti,1774,1
Balbi,Corner,1720,1
Balbi,Grimani,1623,1
Balbi,Morosini,1759,1
Balbi,Surian,1417,1
Balbi,Morosini,1429,2
Balbi,Erizzo,1508,1
Balbi,Cocco,1504,1
Balbi,Bon,1697,1
Balbi,Bragadin,1614,1
Balbi,Soranzo,1615,1
Balbi,Arimondo,1550,1
Balbi,Corner,1735,1
Balbi,Boldu,1490,1
Balbi,Longo,1608,1
Balbi,Balbi,1739,1
Balbi,Boldu,1651,1
Balbi,Morosini,1783,1
Balbi,Querini,1566,1
Balbi,Dolfin,1675,1
Balbi,Zeno,1557,1
Balbi,Zorzi,1568,2
Balbi,Donato,1638,1
Balbi,Gabriel,1604,1
Balbi,Bragadin,1561,1
Balbi,Priuli,1627,1
Balbi,Da Riva,1733,1
Balbi,Giustinian,1400,1
Balbi,Corner,1735,1
Balbi,Bembo,1820,1
Balbi,Barozzi,1473,1
Balbi,Michiel,1452,1
Balbi,Pisani,1674,1
Balbi,Trevisan,1680,1
Balbi,Mocenigo,1646,1
Balbi,Lippomano,1555,1
Balbi,Balbi,1703,1
Balbi,Priuli,1779,1
Balbi,Emo,1501,1
Balbi,Loredan,1639,1
Balbi,Capello,1569,1
Balbi,Baseggio,1573,1
Balbi,Barbaro,1789,1
Balbi,Zorzi,1655,1
Balbi,Balbi,1675,1
Balbi,Corner,1754,1
Balbi,Loredan,1696,1
Balbi,Soranzo,1731,1
Balbi,Rizzi,1784,1
Balbi,Benzon,1786,1
Balbi,Trevisan,1798,1
Balbi,Contarini,1733,1
Balbi,Basadonna,1629,1
Balbi,Donato,1631,1
Balbi,Pisani,1660,1
Balbi,Donato,1579,1
Balbi,Nani,1544,1
Balbi,Vitturi,1750,1
Balbi,Badoer,1716,1
Balbi,Minio,1685,1
Balbi,Moro,1614,1
Balbi,Morosini,1532,1
Balbi,Corner,1672,1
Balbi,Pasqualigo,1608,1
Balbi,Corner,1768,1
Balbi,Falier,1585,1
Balbi,Querini,1651,1
Balbi,Vitturi,1654,1
Balbi,Soranzo,1740,1
Balbi,Corner,1657,1
Balbi,Semitecolo,1645,1
Balbi,Benzon,1606,1
Balbi,Benzon,1603,1
Balbi,Malipiero,1616,2
Balbi,Pasqualigo,1717,1
Balbi,Venier,1727,2
Balbi,Barozzi,1729,1
Balbi,Zorzi,1624,1
Balbi,Donato,1450,1
Balbi,Corner,1784,1
Balbi,Bon,1708,1
Balbi,Pasqualigo,1566,1
Balbi,Foscarini,1587,1
Balbi,Corner,1636,1
Balbi,Vitturi,1508,1
Balbi,Papafava,1762,1
Balbi,Soranzo,1674,1
Balbi,Contarini,1611,1
Balbi,Soranzo,1737,1
Balbi,Ferro,1648,1
Balbi,Pizzamano,1795,1
Balbi,Semitecolo,1755,1
Balbi,Zorzi,1575,1
Balbi,Balbi,1769,1
Balbi,Balbi,1602,1
Balbi,Trevisan,1725,1
Balbi,Giustinian,1457,1
Balbi,Barbarigo,1561,1
Balbi,Zane,1431,1
Balbi,Barbaro,1630,1
Balbi,Pisani,1768,1
Balbi,Pisani,1796,1
Balbi,Balbi,1661,1
Balbi,Michiel,1479,1
Balbi,Zane,1566,1
Balbi,Dolfin,1827,1
Balbi,Baseggio,1652,1
Balbi,Soranzo,1701,1
Balbi,Soranzo,1429,1
Balbi,Bonlini,1789,1
Balbi,Foscarini,1747,1
Balbi,Marin,1559,1
Balbi,Donato,1570,1
Balbi,Barbo,1697,1
Balbi,Mosto,1777,1
Balbi,Canal,1887,1
Balbi,Ferro,1685,1
Balbi,Soranzo,1575,1
Balbi,Querini,1562,1
Balbi,Querini,1508,1
Balbi,Longo,1617,1
Balbi,Mosto,1586,1
Balbi,Da Molin,1683,1
Balbi,Pasqualigo,1664,1
Balbi,Cicogna,1667,1
Balbi,Balbi,1466,1
Balbi,Lion,1450,1
Balbi,Corner,1704,1
Balbi,Gritti,1569,1
Balbi,Pizzamano,1630,1
Balbi,Da Riva,1667,1
Balbi,Contenti,1714,1
Balbi,Pizzamano,1650,1
Balbi,Semitecolo,1735,1
Balbi,Corner,1709,1
Balbi,Balbi,1726,2
Balbi,Pisani,1813,1
Balbi,Grimani,1590,1
Balbi,Zorzi,1626,1
Balbi,Balbi,1677,1
Balbi,Cicogna,1815,1
Balbi,Venier,1771,1
Balbi,Bernardo,1717,1
Balbi,Badoer,1736,2
Balbi,Priuli,1443,1
Balbi,Orio,1612,1
Balbi,Zane,1469,1
Balbi,Corner,1602,1
Balbi,Bon,1763,1
Balbi,Bragadin,1746,1
Balbi,Balbi,1761,1
Balbi,Zorzi,1789,1
Balbi,Soderini,1655,1
Balbi,Lippomano,1631,1
Balbi,Bollani,1689,1
Balbi,Vanaxel,1696,1
Balbi,Malipiero,1600,1
Balbi,Raspi,1758,1
,Sagredo,1631,1
,Da Molin,1426,1
,Deddo,1421,1
,Querini,1420,1
,Michiel,1655,1
,Barbarigo,1690,1
,Michiel,1693,1
Barastro,Gabriel,1524,1
Barastro,Michiel,1527,2
Barastro,Pasqualigo,1529,3
Barbaran,Giustinian,1764,1
Barastro,Barbaran,,1
Barastro,Foscarini,1707,1
Barbarigo,Moro,,1
Barbarigo,Pisani,1475,1
Barbarigo,De Mezzo,1588,1
Barbarigo,Morosini,1429,1
Barbarigo,Barbaran,1676,1
Barbarigo,Querini,,1
Barbarigo,Muazzo,,1
Barbarigo,Lombardo,1599,1
Barbarigo,Malipiero,1504,1
Barbarigo,Querini,1576,1
Barbarigo,Giustinian,1720,1
Barbarigo,Bragadin,1546,1
Barbarigo,Marcello,1535,1
Barbarigo,Malipiero,1502,1
Barbarigo,Barbarigo,1439,1
Barbarigo,Trevisan,,1
Barbarigo,Lombardo,1560,1
Barbarigo,Pisani,1565,1
Barbarigo,Balbi,1623,1
Barbarigo,Marcello,1565,1
Barbarigo,Donato,1412,1
Barbarigo,Loredan,1704,1
Barbarigo,Vendramin,1632,1
Barbarigo,Dandolo,1633,2
Barbarigo,Contarini,1645,3
Barbarigo,Trevisan,1432,1
Barbarigo,Mocenigo,1638,1
Barbarigo,Zusto,1572,1
Barbarigo,Contarini,1423,1
Barbarigo,Bembo,1424,1
Barbarigo,Badoer,1617,1
Barbarigo,Corner,1534,1
Barbarigo,Bembo,1743,1
Barbarigo,Venier,1647,1
Barbarigo,Capello,1664,1
Barbarigo,Pizzamano,1505,1
Barbarigo,Canal,1519,2
Barbarigo,Bollani,1520,1
Barbarigo,Dolfin,1533,1
Barbarigo,Soranzo,1631,1
Barbarigo,Minio,1580,1
Barbarigo,Barbaro,1589,1
Barbarigo,Foscarini,1402,1
Barbarigo,Zorzi,1718,1
Barbarigo,Vendramin,1697,1
Barbarigo,Cocco,1539,1
Barbarigo,Barbaro,1764,1
Barbarigo,Michiel,1710,1
Barbarigo,Barbarigo,1637,1
Barbarigo,Zorzi,1765,1
Barbarigo,Soranzo,1541,1
Barbarigo,Dandolo,1576,1
Barbarigo,Foscarini,1578,1
Barbarigo,Loredan,1502,1
Barbarigo,Moro,1540,1
Barbarigo,Priuli,1479,1
Barbarigo,Balbi,1700,1
Barbarigo,Zeno,,1
Barbarigo,Nani,1468,1
Barbarigo,Priuli,1581,1
Barbarigo,Paruta,1531,1
Barbarigo,Querini,,1
Barbarigo,Garzoni,1443,1
Barbarigo,Zorzi,1650,1
Barbarigo,Malipiero,1510,1
Barbarigo,Zorzi,1561,1
Barbarigo,Dandolo,,1
Barbarigo,Lippomano,1541,1
Barbarigo,Gussoni,1577,1
Barbarigo,Dandolo,,1
Barbarigo,Da Lezze,1526,1
Barbarigo,Ruzzini,1567,1
Barbarigo,Zane,1613,1
Barbarigo,Moro,1567,1
Barbarigo,Canal,1591,1
Barbarigo,Salamon,1658,1
Barbarigo,Venier,1539,1
Barbarigo,Lion,1632,1
Barbarigo,Contarini,1420,1
Barbarigo,Querini,1600,1
Barbarigo,Corner,1580,1
Barbarigo,Minotto,1526,1
Barbarigo,Venier,1562,1
Barbarigo,Gradenigo,1474,1
Barbarigo,Minotto,1535,1
Barbarigo,Morosini,1559,1
Barbarigo,Grimani,1672,1
Barbarigo,Bondumier,1417,1
Barbarigo,Bollani,1423,1
Barbarigo,Loredan,1628,1
Barbarigo,Girardo,1401,1
Barbarigo,Gritti,1469,1
Barbarigo,Bragadin,1442,1
Barbarigo,Querini,1554,1
Barbarigo,Contarini,1550,1
Barbarigo,Michiel,1611,1
Barbarigo,Canal,1583,1
Barbarigo,Malatesta,1581,1
Barbarigo,Dandolo,1574,1
Barbarigo,Malipiero,1552,1
Barbarigo,Pasqualigo,1650,1
Barbarigo,Baffo,1480,1
Barbarigo,Garzoni,1572,1
Barbarigo,Soranzo,1568,1
Barbarigo,Zane,1614,1
Barbarigo,Donato,1524,1
Barbarigo,Soranzo,1518,1
Barbarigo,Pesaro,1612,1
Barbarigo,Da Molin,1531,1
Barbarigo,Morosini,1533,1
Barbarigo,Zane,1612,1
Barbarigo,Dolfin,,1
Barbarigo,Valaresso,1477,1
Barbarigo,Barbarigo,1537,1
Barbarigo,Marin,1421,1
Barbarigo,Fracassetti,1740,1
Barbarigo,Zeno,1434,1
Barbarigo,Moro,1463,1
Barbarigo,Tiepolo,1477,1
Barbarigo,Lippomano,1541,1
Barbarigo,Zeno,1591,1
Barbarigo,Malipiero,1583,1
Barbarigo,Zane,1566,1
Barbarigo,Donato,1418,1
Barbarigo,Mosto,1614,1
Barbarigo,Da Molin,,1
Barbarigo,Corner,1666,1
Barbarigo,Zeno,1606,1
Barbarigo,Foscarini,1556,1
Barbarigo,Savorgnan,1706,1
Barbarigo,Foscarini,1726,2
Barbarigo,Muazzo,1455,1
Barbarigo,Ruzzini,,1
Barbarigo,Priuli,1450,1
Barbarigo,Surian,1680,1
Barbarigo,Valier,1694,2
Barbarigo,Cocco,1588,1
Barbarigo,Malipiero,1595,1
Barbarigo,Canal,1628,1
Barbarigo,Malipiero,1633,1
Barbarigo,Gradenigo,,1
Barbarigo,Loredan,1383,1
Barbarigo,Balbi,1702,2
Barbarigo,Barbaro,1733,1
Barbarigo,Michiel,1608,1
Barbarigo,Morosini,1627,1
Barbarigo,Contarini,1535,1
Barbarigo,Dolfin,1693,1
Barbarigo,Labia,1777,1
Barbarigo,Bembo,1577,1
Barbarigo,Capello,1470,1
Barbarigo,Celsi,1752,1
Barbarigo,Corner,,1
Barbarigo,Michiel,1546,1
Barbarigo,Muazzo,,1
Barbarigo,Barbarigo,1518,1
Barbarigo,Longo,1557,1
Barbarigo,Venier,1682,1
Barbarigo,Venier,,1
Barbarigo,Ferro,1520,1
Barbarigo,Morosini,1545,1
Barbarigo,Priuli,1564,2
Barbarigo,Da Molin,1572,1
Barbarigo,Pisani,1626,1
Barbarigo,Priuli,1632,1
Barbarigo,Deddo,1637,1
Barbarigo,Morosini,1582,1
Barbarigo,Priuli,1474,1
Barbarigo,Gradenigo,1581,1
Barbarigo,Malipiero,1593,1
Barbarigo,Contarini,1461,1
Barbarigo,Minotto,1555,1
Barbarigo,Civran,1555,1
Barbarigo,Dandolo,,1
Barbarigo,Balbi,1672,1
Barbarigo,Malipiero,1472,1
Barbarigo,Albrizzi,1740,1
Barbarigo,Corner,,1
Barbarigo,Rezzonico,1690,1
Barbaro,Balbi,1791,1
Barbaro,Barozzi,1707,1
Barbaro,Mosto,1469,1
Barbaro,Foscarini,1766,1
Barbaro,Gradenigo,1539,1
Barbaro,Moro,1548,1
Barbaro,Zeno,1616,1
Barbaro,Da Molin,1784,1
Barbaro,Da Molin,1483,1
Barbaro,Barbarigo,1560,1
Barbaro,D'Avanzago,1513,1
Barbaro,Zulian,1472,1
Barbaro,Corner,1709,1
Barbaro,Corner,1735,1
Barbaro,Marin,1771,1
Barbaro,Cicogna,1761,1
Barbaro,Longo,1643,1
Barbaro,Da Molin,1428,1
Barbaro,De Mezzo,1541,1
Barbaro,Boldu,1632,1
Barbaro,Capello,1601,1
Barbaro,Dolfin,1428,1
Barbaro,Pisani,1610,1
Barbaro,Corner,1550,1
Barbaro,Condulmer,1522,1
Barbaro,Civran,1554,1
Barbaro,Soranzo,1742,1
Barbaro,Balbi,1676,1
Barbaro,Mosto,1778,1
Barbaro,Minio,1547,1
Barbaro,Bembo,1635,1
Barbaro,Morosini,1602,1
Barbaro,Capello,1656,1
Barbaro,Da Molin,1787,1
Barbaro,Minio,1664,1
Barbaro,Longo,1551,1
Barbaro,Ferro,1554,1
Barbaro,Lombardo,1726,1
Barbaro,Bragadin,1722,1
Barbaro,Gritti,1735,1
Barbaro,Bembo,1789,1
Barbaro,Badoer,1535,1
Barbaro,Morosini,1446,1
Barbaro,Bondumier,1534,1
Barbaro,Michiel,1610,1
Barbaro,Loredan,,1
Barbaro,Vitturi,1430,1
Barbaro,Barbaro,1418,1
Barbaro,Contarini,1437,1
Barbaro,Balbi,1581,1
Barbaro,Pizzamano,1645,1
Barbaro,Corner,1677,1
Barbaro,Canal,1512,1
Barbaro,Barozzi,1579,1
Barbaro,Contarini,1511,1
Barbaro,Moro,1539,2
Barbaro,Mosto,1437,1
Barbaro,Michiel,1568,1
Barbaro,Grimani,1649,1
Barbaro,Trevisan,1594,1
Barbaro,Barozzi,1730,1
Barbaro,Minio,1488,1
Barbaro,Canal,1698,1
Barbaro,Balbi,1685,1
Barbaro,Bragadin,1497,1
Barbaro,Lion,1535,1
Barbaro,Falier,1582,1
Barbaro,Loredan,1610,1
Barbaro,Barbaro,1712,1
Barbaro,Pasqualigo,1793,1
Barbaro,Morosini,1616,1
Barbaro,Loredan,1696,1
Barbaro,Miani,1428,1
Barbaro,Dandolo,1541,1
Barbaro,Falier,1656,1
Barbaro,Minio,1453,1
Barbaro,Barbarigo,1503,1
Barbaro,Da Molin,1520,1
Barbaro,Deddo,1648,1
Barbaro,Michiel,1591,1
